Iteration,Kp,Ki,Kd,Overshoot (%),Rise Time (s),Settling Time (s),Max Angle (deg)
1,2.000,0.050,0.500,25.220,19.775,189.567,112.698
2,8.000,0.100,2.000,4.002,7.558,96.533,93.602
3,10.000,0.300,5.000,22.214,10.592,111.350,109.992
4,5.000,0.800,15.000,40.126,7.058,279.292,126.113
5,9.000,0.080,4.000,27.690,34.675,inf,114.921
6,9.000,0.050,3.000,27.721,36.892,inf,114.949
7,8.000,0.200,3.000,8.167,7.950,93.367,97.350
8,8.500,0.080,2.000,3.351,9.183,93.842,93.015
9,8.200,0.120,2.200,5.827,164.692,inf,95.244
10,8.500,0.060,2.500,2.300,7.217,62.492,92.070
11,8.500,0.050,3.000,35.018,36.483,inf,121.516
12,8.500,0.060,2.300,2.495,8.167,73.683,92.245
13,9.000,0.060,2.600,5.822,37.025,inf,95.240
14,8.400,0.060,2.400,11.187,33.408,inf,100.068
15,8.500,0.060,2.700,36.540,33.733,inf,122.886
16,8.600,0.065,2.450,2.396,7.908,71.875,92.157
17,8.500,0.060,2.450,36.519,35.225,inf,122.867
18,8.500,0.055,2.550,3.175,8.758,120.183,92.857
19,8.500,0.065,2.450,2.574,7.408,71.567,92.317
20,8.700,0.065,2.450,2.491,6.767,68.167,92.242
21,8.700,0.060,2.500,7.055,32.775,inf,96.350
22,8.750,0.060,2.500,34.025,36.917,inf,120.622
23,8.800,0.070,2.450,33.847,65.692,inf,120.462
24,8.550,0.060,2.480,3.890,8.258,140.225,93.501
25,8.500,0.055,2.500,5.385,34.000,inf,94.846
26,8.600,0.050,2.450,10.828,42.842,inf,99.745
27,8.650,0.065,2.450,28.053,33.308,inf,115.248
28,8.500,0.065,2.500,2.436,6.575,66.992,92.193
29,8.600,0.065,2.500,2.449,7.183,72.717,92.204
30,8.500,0.055,2.500,36.077,34.650,inf,122.469
31,8.600,0.055,2.480,1.937,6.958,16.408,91.743
32,8.620,0.060,2.480,inf,inf,inf,78.268
33,8.600,0.060,2.480,2.081,6.258,48.800,91.873
34,8.600,0.070,2.480,2.409,6.867,69.792,92.168
35,8.600,0.065,2.480,2.242,6.942,59.833,92.018
36,8.580,0.060,2.480,27.982,33.325,inf,115.184
37,8.600,0.060,2.480,2.136,6.950,58.717,91.923
38,8.600,0.060,2.480,34.534,37.300,inf,121.081
39,8.600,0.055,2.480,5.073,9.400,183.025,94.566
40,8.600,0.065,2.480,2.249,6.850,58.517,92.024
41,8.600,0.060,2.480,16.514,26.508,inf,104.862
42,8.600,0.055,2.480,10.859,38.133,inf,99.773
43,8.600,0.060,2.480,28.497,31.800,inf,115.647
44,8.600,0.060,2.480,7.633,31.183,inf,96.870
