Iteration,Kp,Ki,Kd,Overshoot (%),Rise Time (s),Settling Time (s),Max Angle (deg)
1,2.000,0.050,0.500,25.220,19.775,189.567,112.698
2,8.000,0.100,2.000,4.002,7.558,96.533,93.602
3,10.000,0.300,5.000,22.214,10.592,111.350,109.992
4,5.000,0.800,15.000,40.126,7.058,279.292,126.113
5,9.000,0.120,2.500,33.689,37.350,inf,120.320
6,8.000,0.100,2.500,4.518,8.133,103.058,94.067
7,8.000,0.100,2.000,6.051,189.508,inf,95.446
8,8.500,0.100,2.000,2.639,3.300,60.708,92.375
9,9.000,0.100,2.000,3.909,6.600,97.733,93.518
10,8.750,0.100,2.250,inf,190.333,inf,86.962
11,8.500,0.100,2.000,2.465,185.567,inf,92.219
12,8.750,0.100,2.000,2.471,162.192,inf,92.224
13,8.500,0.100,2.000,2.427,184.350,inf,92.184
14,8.500,0.100,2.000,2.452,179.775,inf,92.207
15,8.750,0.100,2.000,2.366,177.825,inf,92.129
16,8.600,0.100,2.000,2.416,179.117,inf,92.175
17,8.600,0.100,2.000,inf,187.383,inf,87.139
18,8.500,0.100,2.250,2.460,185.425,inf,92.214
19,8.500,0.100,2.000,2.394,170.233,inf,92.155
20,8.500,0.100,2.000,3.985,151.692,inf,93.587
21,9.000,0.100,2.500,31.160,23.608,inf,118.044
22,8.800,0.100,2.000,23.895,19.175,264.875,111.506
23,8.500,0.100,2.000,3.967,8.350,91.200,93.570
24,8.600,0.100,2.200,3.729,7.275,94.425,93.356
25,8.750,0.100,2.000,3.015,148.000,inf,92.714
26,8.500,0.100,2.000,35.267,27.033,inf,121.740
27,8.500,0.100,2.000,4.638,161.467,inf,94.175
28,8.500,0.100,2.250,35.191,21.117,inf,121.672
29,8.500,0.100,2.000,3.605,8.117,93.350,93.244
30,8.500,0.100,2.000,3.799,8.592,94.992,93.419
31,8.500,0.100,2.000,11.835,5.483,233.242,100.652
32,8.500,0.120,2.000,2.715,154.467,inf,92.444
33,8.500,0.100,2.000,2.401,176.617,inf,92.161
34,8.750,0.100,2.000,2.513,191.108,inf,92.261
35,8.400,0.100,2.000,2.546,183.317,inf,92.292
36,8.500,0.100,2.000,2.611,185.308,inf,92.350
37,8.500,0.100,2.000,inf,185.358,inf,87.162
38,8.500,0.100,2.000,2.458,161.292,inf,92.212
39,8.500,0.100,2.000,2.401,161.975,inf,92.161
40,8.500,0.100,2.000,2.431,170.758,inf,92.187
41,8.700,0.100,2.000,2.372,174.125,inf,92.135
42,8.600,0.100,2.000,2.400,167.742,inf,92.160
43,8.500,0.100,2.200,2.476,185.367,inf,92.228
44,8.500,0.100,2.000,2.400,168.533,inf,92.160
