Iteration,Kp,Ki,Kd,Overshoot (%),Rise Time (s),Settling Time (s),Max Angle (deg)
1,2.000,0.050,0.500,25.220,19.775,189.567,112.698
2,8.000,0.100,2.000,4.002,7.558,96.533,93.602
3,10.000,0.300,5.000,22.214,10.592,111.350,109.992
4,5.000,0.800,15.000,40.126,7.058,279.292,126.113
5,8.500,0.080,3.000,29.429,29.542,inf,116.486
6,8.000,0.120,2.200,17.613,45.933,299.667,105.851
7,8.500,0.090,2.200,6.900,8.067,153.408,96.210
8,8.000,0.080,2.400,2.414,170.008,inf,92.173
9,8.000,0.090,2.100,2.475,194.158,inf,92.227
10,8.000,0.110,2.050,2.371,134.683,inf,92.134
11,7.800,0.110,2.000,2.468,154.733,inf,92.221
12,8.000,0.140,2.000,2.483,125.667,inf,92.235
13,8.500,0.080,2.300,2.280,230.958,inf,92.052
14,8.500,0.100,2.200,2.492,185.717,inf,92.243
15,8.200,0.090,1.900,2.285,199.100,inf,92.056
16,9.500,0.100,1.800,2.250,174.667,inf,92.025
17,8.000,0.200,2.000,2.837,87.008,inf,92.554
18,8.000,0.100,2.000,inf,174.558,inf,87.556
19,8.500,0.180,1.000,4.996,59.775,inf,94.496
20,8.500,0.100,2.000,2.363,165.425,inf,92.126
21,8.000,0.220,1.500,2.412,71.175,inf,92.171
22,7.900,0.100,2.000,2.415,141.292,inf,92.174
23,8.500,0.160,2.400,2.786,115.342,inf,92.507
24,8.200,0.060,2.100,38.201,34.658,inf,124.381
25,7.500,0.100,2.000,4.379,7.217,100.933,93.941
26,8.000,0.100,2.000,3.966,7.333,94.983,93.569
27,8.200,0.100,2.050,4.181,8.350,99.108,93.763
28,8.000,0.100,2.050,2.847,138.558,inf,92.563
29,8.100,0.100,2.000,2.910,143.750,inf,92.619
30,8.000,0.110,2.000,3.674,126.150,inf,93.307
31,7.800,0.100,2.000,3.434,133.383,inf,93.090
32,8.000,0.095,2.000,10.307,103.408,inf,99.277
33,8.000,0.090,2.050,38.314,24.258,inf,124.483
34,7.600,0.080,2.200,3.295,195.350,inf,92.965
35,7.600,0.100,2.000,3.671,158.150,inf,93.303
36,7.900,0.100,2.050,2.966,143.458,inf,92.669
37,8.100,0.090,2.000,2.998,149.250,inf,92.698
38,8.000,0.100,2.000,2.942,135.050,inf,92.648
39,8.000,0.100,2.020,3.287,143.100,inf,92.959
40,8.000,0.095,2.000,3.203,156.500,inf,92.883
41,7.900,0.090,2.000,2.935,159.592,inf,92.642
42,8.000,0.100,2.100,3.430,153.992,inf,93.087
43,8.000,0.100,2.000,3.121,134.775,inf,92.809
44,8.000,0.100,2.800,37.141,20.533,inf,123.427
